col_len,mode,selectivity,secs,pcpu
12500000,single_thread,0.002,0.4034422874450684,75.5
12500000,single_thread,0.0026000000000000003,0.4029671669006348,86.0
12500000,single_thread,0.0033800000000000006,0.41159539222717284,89.5
12500000,single_thread,0.004394000000000001,0.4368307113647461,91.1
12500000,single_thread,0.0057122000000000015,0.4431759834289551,93.0
12500000,single_thread,0.007425860000000002,0.48317713737487794,93.6
12500000,single_thread,0.009653618000000003,0.4497575283050537,94.2
12500000,single_thread,0.012549703400000004,0.5139838695526123,94.7
12500000,single_thread,0.016314614420000005,0.5289829730987549,95.1
12500000,single_thread,0.021208998746000008,0.5306071758270263,95.3
12500000,single_thread,0.027571698369800012,0.5682584285736084,95.5
12500000,single_thread,0.03584320788074002,0.6754000663757325,95.9
12500000,single_thread,0.04659617024496202,0.7313254356384278,96.2
12500000,single_thread,0.060575021318450634,0.9037168025970459,96.5
12500000,single_thread,0.07874752771398583,1.013350009918213,96.7
12500000,single_thread,0.10237178602818157,1.1602699756622314,97.0
12500000,single_thread,0.13308332183663604,1.2753590583801269,97.2
12500000,single_thread,0.17300831838762687,1.5209268569946288,97.5
12500000,single_thread,0.22491081390391493,1.981007719039917,97.7
12500000,single_thread,0.29238405807508944,2.0214724063873293,97.9
12500000,multi_thread,0.002,0.5365572452545166,163.0
12500000,multi_thread,0.0026000000000000003,0.5403102397918701,194.0
12500000,multi_thread,0.0033800000000000006,0.5423104763031006,204.0
12500000,multi_thread,0.004394000000000001,0.5541707515716553,207.0
12500000,multi_thread,0.0057122000000000015,0.5723154067993164,209.0
12500000,multi_thread,0.007425860000000002,0.5654330730438233,210.0
12500000,multi_thread,0.009653618000000003,0.5813469886779785,212.0
12500000,multi_thread,0.012549703400000004,0.584809398651123,214.0
12500000,multi_thread,0.016314614420000005,0.5880716800689697,214.0
12500000,multi_thread,0.021208998746000008,0.5996712684631348,216.0
12500000,multi_thread,0.027571698369800012,0.6071820259094238,217.0
12500000,multi_thread,0.03584320788074002,0.6542448997497559,218.0
12500000,multi_thread,0.04659617024496202,0.6908718585968018,219.0
12500000,multi_thread,0.060575021318450634,0.7569643497467041,220.0
12500000,multi_thread,0.07874752771398583,0.799360990524292,221.0
12500000,multi_thread,0.10237178602818157,0.8754228115081787,223.0
12500000,multi_thread,0.13308332183663604,0.9152979373931884,224.0
12500000,multi_thread,0.17300831838762687,1.0054203987121582,225.0
12500000,multi_thread,0.22491081390391493,1.1199360370635987,229.0
12500000,multi_thread,0.29238405807508944,1.2705007553100587,232.0
