col_len,selectivity,avg_secs,maj_faults,min_faults,est_jinput
12500000,0.002,0.5536174774169922,10.6,10847.4,50000
12500000,0.0026000000000000003,0.5708918094635009,9.4,11165.6,65000
12500000,0.0033800000000000006,0.5823915004730225,12.8,11681.0,84500
12500000,0.004394000000000001,0.5844424724578857,10.0,12515.8,109850
12500000,0.0057122000000000015,0.5937701225280761,9.0,12672.4,142805
12500000,0.007425860000000002,0.5805082321166992,10.8,17470.6,185646
12500000,0.009653618000000003,0.6012545585632324,7.6,20084.0,241340
12500000,0.012549703400000004,0.6159058570861816,9.8,24236.0,313742
12500000,0.016314614420000005,0.627643632888794,11.0,27160.8,407865
12500000,0.021208998746000008,0.6304494857788085,14.0,27007.6,530224
12500000,0.027571698369800012,0.6474160194396973,11.0,32564.6,689292
12500000,0.03584320788074002,0.6864389419555664,12.6,44094.4,896080
12500000,0.04659617024496202,0.7136341094970703,12.0,43059.2,1164904
12500000,0.060575021318450634,0.7654745578765869,13.0,54791.6,1514375
12500000,0.07874752771398583,0.8311858177185059,14.6,66213.6,1968688
12500000,0.10237178602818157,0.8726611137390137,17.4,73261.6,2559294
12500000,0.13308332183663604,0.9163556098937988,35.2,82003.6,3327083
12500000,0.17300831838762687,0.9941988468170166,35.6,102029.6,4325207
12500000,0.22491081390391493,1.1132468700408935,27.4,134698.8,5622770
12500000,0.29238405807508944,1.1409486770629882,82.6,151111.0,7309601
