col_len,col_type,selectivity,avg_time,avg_maj_page_faults,avg_min_page_faults
50000000,sorted,0.002,0.011919784545898437,0.0,78.4
50000000,sorted,0.0026000000000000003,0.012148094177246094,0.0,11.8
50000000,sorted,0.0033800000000000006,0.01381235122680664,0.0,15.2
50000000,sorted,0.004394000000000001,0.017466020584106446,0.0,19.8
50000000,sorted,0.0057122000000000015,0.022666072845458983,0.0,25.6
50000000,sorted,0.007425860000000002,0.02943000793457031,0.0,33.8
50000000,sorted,0.009653618000000003,0.03816323280334473,0.0,43.4
50000000,sorted,0.012549703400000004,0.04947471618652344,0.0,56.6
50000000,sorted,0.016314614420000005,0.06464366912841797,0.0,73.8
50000000,sorted,0.021208998746000008,0.08516178131103516,0.0,95.6
50000000,sorted,0.027571698369800012,0.11032519340515137,0.0,124.2
50000000,sorted,0.03584320788074002,0.14607815742492675,0.0,161.2
50000000,sorted,0.04659617024496202,0.19126148223876954,0.0,9.2
50000000,sorted,0.060575021318450634,0.2233745574951172,0.0,65.2
50000000,sorted,0.07874752771398583,0.3290663242340088,0.0,59.0
50000000,sorted,0.10237178602818157,0.4020851135253906,0.0,232.8
50000000,sorted,0.13308332183663604,0.5707674026489258,0.0,221.4
50000000,sorted,0.17300831838762687,0.7013940334320068,0.0,317.0
50000000,sorted,0.22491081390391493,0.19166069030761718,0.0,0.0
50000000,sorted,0.29238405807508944,0.2812938213348389,0.0,99.6
50000000,btree,0.002,0.012317466735839843,0.0,39.6
50000000,btree,0.0026000000000000003,0.011828231811523437,0.0,11.8
50000000,btree,0.0033800000000000006,0.014920282363891601,0.0,66.4
50000000,btree,0.004394000000000001,0.01903810501098633,0.0,20.0
50000000,btree,0.0057122000000000015,0.025574636459350587,0.0,26.0
50000000,btree,0.007425860000000002,0.03223075866699219,0.0,33.6
50000000,btree,0.009653618000000003,0.041919279098510745,0.0,10.0
50000000,btree,0.012549703400000004,0.05424203872680664,0.0,0.4
50000000,btree,0.016314614420000005,0.07053952217102051,0.0,60.6
50000000,btree,0.021208998746000008,0.09299874305725098,0.0,42.0
50000000,btree,0.027571698369800012,0.12154140472412109,0.0,0.2
50000000,btree,0.03584320788074002,0.15951147079467773,0.0,102.4
50000000,btree,0.04659617024496202,0.20793333053588867,0.0,9.0
50000000,btree,0.060575021318450634,0.18321733474731444,0.0,7.2
50000000,btree,0.07874752771398583,0.32969326972961427,0.0,14.8
50000000,btree,0.10237178602818157,0.4697838306427002,0.0,531.0
50000000,btree,0.13308332183663604,0.6011940956115722,0.0,536.2
50000000,btree,0.17300831838762687,0.8140174865722656,0.0,1053.8
50000000,btree,0.22491081390391493,0.35686049461364744,0.0,214.6
50000000,btree,0.29238405807508944,0.1649549961090088,0.0,0.0
