col_len,idx_time,default_time,idx_maj_faults,idx_min_faults,default_maj_faults,default_min_faults
390625,0.012827682495117187,0.024083280563354494,4.0,10.2,3.8,131.8
781250,0.032564830780029294,0.027652263641357422,3.4,16.8,3.8,289.8
1562500,0.020726346969604494,0.05525064468383789,3.6,36.4,7.4,577.2
3125000,0.012071990966796875,0.09146232604980468,4.0,70.0,6.0,1148.2
6250000,0.01679205894470215,0.16604795455932617,4.0,137.8,5.4,2339.8
12500000,0.01895585060119629,0.32500147819519043,4.0,272.0,5.6,4657.4
25000000,0.024918365478515624,0.6616467952728271,3.8,537.0,3.8,7583.0
50000000,0.047151803970336914,1.26892032623291,4.0,1033.2,8.4,11683.4
100000000,0.0441431999206543,2.7480258464813234,4.0,2130.2,8.0,19377.4
200000000,0.06637687683105468,5.25286374092102,4.0,2212.6,15.2,32438.8
