col_len,avg_time,micros/len,avg_page_faults
390625,0.01163034439086914,0.029773681640625,1.2
781250,0.01629610061645508,0.0208590087890625,0.8
1562500,0.03262128829956055,0.02087762451171875,0.8
3125000,0.06455731391906738,0.020658340454101563,1.0
6250000,0.12418456077575683,0.019869529724121093,1.4
12500000,0.24779248237609863,0.01982339859008789,2.0
25000000,0.49953303337097166,0.019981321334838868,1.6
50000000,1.0148219108581542,0.020296438217163083,6.6
100000000,2.036837434768677,0.020368374347686766,7.8
200000000,4.004975652694702,0.02002487826347351,12.4
