col_len,selectivity,time_sel,time_selfetch,majf_sel,majf_selfetch,minf_sel,minf_selfetch
12500000,0.001,0.4990571975708008,0.574751329421997,29.4,30.8,2539.2,2703.0
12500000,0.021,0.48865203857421874,0.639604902267456,24.4,16.2,2523.4,3669.0
12500000,0.041,0.5028491973876953,0.6865936279296875,24.6,19.2,2471.4,4440.2
12500000,0.061,0.5049690246582031,0.7378612995147705,27.2,30.0,2509.0,3519.0
12500000,0.081,0.5078042984008789,0.7900887966156006,18.4,29.4,2501.4,4409.8
12500000,0.101,0.5199603080749512,0.8417819976806641,26.0,28.4,2465.6,3345.4
12500000,0.12100000000000001,0.5191466808319092,0.8420916080474854,25.4,23.8,2474.8,4237.2
12500000,0.14100000000000001,0.5251430988311767,0.8881990432739257,31.6,19.4,2529.8,3256.4
12500000,0.161,0.5367282867431641,0.9250051975250244,32.4,38.8,2426.0,4139.8
12500000,0.181,0.5353831768035888,0.9226291656494141,30.4,29.6,2443.4,3299.8
12500000,0.20099999999999998,0.5319661617279052,0.9400221824645996,27.2,25.0,2482.0,3966.2
12500000,0.22099999999999997,0.5313438892364502,1.001570987701416,26.4,22.4,2488.6,3013.2
12500000,0.24099999999999996,0.5389833450317383,0.9846415042877197,23.4,19.6,2464.0,3987.2
12500000,0.26099999999999995,0.5353732109069824,0.9711233615875244,18.8,21.6,2450.2,3268.6
12500000,0.28099999999999997,0.5378493309020996,1.0425374984741211,30.0,23.6,2457.2,3851.0
12500000,0.301,0.5370782375335693,1.0421464443206787,23.0,39.8,2441.4,2927.4
12500000,0.321,0.5339215755462646,1.049283790588379,35.6,23.0,2419.4,3669.8
12500000,0.341,0.5351274490356446,1.0841303825378419,23.6,29.6,2449.4,3163.8
12500000,0.36100000000000004,0.5331020355224609,1.082115077972412,26.4,24.6,2438.6,3616.2
12500000,0.38100000000000006,0.5386084079742431,1.0785509586334228,31.4,27.0,2404.0,3086.4
12500000,0.4010000000000001,0.5360890388488769,1.1121766567230225,32.0,34.4,2472.0,3701.4
12500000,0.4210000000000001,0.5399551391601562,1.0938255786895752,32.4,23.8,2409.4,3190.0
12500000,0.4410000000000001,0.5351681709289551,1.1191046237945557,19.2,31.4,2472.4,3516.4
12500000,0.46100000000000013,0.5333434104919433,1.124314832687378,30.4,29.0,2446.2,3787.0
12500000,0.48100000000000015,0.5373623371124268,1.125907039642334,33.2,29.0,2462.0,3472.4
12500000,0.5010000000000001,0.5364055156707763,1.1010426044464112,24.4,34.8,2448.6,3845.0
12500000,0.5210000000000001,0.532462215423584,1.1448596477508546,31.6,30.0,2443.4,3353.8
12500000,0.5410000000000001,0.5232516288757324,1.1167911529541015,30.0,20.2,2455.4,4032.4
12500000,0.5610000000000002,0.5186646938323974,1.0813920974731446,26.2,42.8,2463.0,3435.2
12500000,0.5810000000000002,0.5226017475128174,1.0792501449584961,34.2,22.4,2499.6,3843.2
12500000,0.6010000000000002,0.5074029445648194,1.0701026916503906,26.0,28.0,2474.2,3514.2
